Claim ID,SKU,Fault Type,Claim Date,Product Age (Months),Status,Service Cost (USD),Resolution Type
WC-1000,REF-PRO-001,Noise Issue,2024-07-27,16,Pending,286.99,Unit Exchange
WC-1001,REF-PRO-001,Control Board Fault,2024-05-15,8,Resolved,350.19,Remote Diagnosis
WC-1002,REF-PRO-001,Compressor Failure,2024-08-28,11,In Progress,122.74,Part Replacement
WC-1003,REF-PRO-001,Display Error,2024-06-09,12,Pending,330.47,Unit Exchange
WC-1004,REF-PRO-001,Compressor Failure,2024-09-07,18,Resolved,146.54,Remote Diagnosis
WC-1005,REF-PRO-001,Power Failure,2024-04-23,16,In Progress,308.36,Remote Diagnosis
WC-1006,REF-PRO-001,Compressor Failure,2024-02-10,15,Resolved,211.76,Part Replacement
WC-1007,REF-PRO-001,Software Bug,2024-06-16,10,Pending,262.37,Remote Diagnosis
WC-1008,REF-PRO-001,Door Hinge,2024-06-23,18,In Progress,158.37,Unit Exchange
WC-1009,REF-PRO-001,Control Board Fault,2024-12-07,8,In Progress,97.82,Part Replacement
WC-1010,REF-PRO-001,Seal Leak,2024-12-16,7,In Progress,339.83,Unit Exchange
WC-1011,REF-PRO-001,Seal Leak,2024-05-08,4,In Progress,121.78,Technician Visit
WC-1012,REF-PRO-001,Power Failure,2024-03-09,23,Resolved,439.72,Unit Exchange
WC-1013,REF-PRO-001,Motor Failure,2024-11-28,23,In Progress,91.04,Technician Visit
WC-1014,REF-PRO-001,Display Error,2024-08-16,19,In Progress,186.28,Technician Visit
WC-1015,REF-PRO-001,Noise Issue,2024-02-27,9,Resolved,210.28,Technician Visit
WC-1016,REF-PRO-001,Compressor Failure,2024-03-05,19,Pending,429.65,Technician Visit
WC-1017,REF-PRO-001,Control Board Fault,2024-09-25,8,In Progress,292.53,Part Replacement
WC-1018,REF-PRO-001,Temperature Inconsistency,2024-08-15,17,In Progress,394.07,Remote Diagnosis
WC-1019,REF-PRO-001,Software Bug,2024-10-02,10,Pending,434.04,Technician Visit
WC-1020,REF-STD-002,Seal Leak,2024-05-22,21,Resolved,112.82,Part Replacement
WC-1021,REF-STD-002,Control Board Fault,2024-03-01,18,In Progress,230.2,Remote Diagnosis
WC-1022,REF-STD-002,Compressor Failure,2024-04-10,10,Pending,163.09,Remote Diagnosis
WC-1023,REF-STD-002,Seal Leak,2024-05-26,3,Pending,285.92,Part Replacement
WC-1024,REF-STD-002,Control Board Fault,2024-09-08,14,Pending,109.6,Unit Exchange
WC-1025,REF-STD-002,Control Board Fault,2024-01-06,5,In Progress,288.02,Unit Exchange
WC-1026,REF-STD-002,Control Board Fault,2024-08-23,15,In Progress,329.89,Unit Exchange
WC-1027,REF-STD-002,Power Failure,2024-08-15,17,Resolved,289.21,Remote Diagnosis
WC-1028,REF-STD-002,Software Bug,2024-05-01,11,Resolved,141.57,Technician Visit
WC-1029,REF-ECO-003,Compressor Failure,2024-03-16,19,Pending,310.6,Unit Exchange
WC-1030,REF-ECO-003,Software Bug,2024-07-21,6,In Progress,437.62,Remote Diagnosis
WC-1031,REF-ECO-003,Temperature Inconsistency,2024-06-11,12,Pending,91.84,Part Replacement
WC-1032,REF-ECO-003,Temperature Inconsistency,2024-12-16,11,In Progress,315.03,Remote Diagnosis
WC-1033,REF-ECO-003,Compressor Failure,2024-08-03,18,In Progress,150.96,Technician Visit
WC-1034,REF-ECO-003,Power Failure,2024-01-22,13,Pending,234.79,Technician Visit
WC-1035,REF-ECO-003,Power Failure,2024-06-20,7,In Progress,300.16,Technician Visit
WC-1036,REF-ECO-003,Display Error,2024-09-05,7,In Progress,225.25,Remote Diagnosis
WC-1037,REF-ECO-003,Compressor Failure,2024-11-20,4,Resolved,333.91,Unit Exchange
WC-1038,REF-ECO-003,Compressor Failure,2024-09-14,18,Resolved,139.88,Technician Visit
WC-1039,REF-ECO-003,Control Board Fault,2024-11-27,15,Resolved,249.35,Unit Exchange
WC-1040,REF-COM-004,Display Error,2024-07-27,23,In Progress,442.1,Part Replacement
