SKU,Product Name,Category,Tier,Capacity/Spec,RRP (USD),Energy Rating,Noise Level (dB),Avg Rating,Lead Time (Days),Color,Key Feature,Warranty,Launch Date,Wi-Fi Enabled,Voice Control
REF-PRO-001,FrostGuard Pro 680L French Door,Refrigerators,Premium,680,2499.99,A+++,8,4.7,18,Stainless Steel,Smart Inverter Compressor,2 Year Full / 10 Year Compressor,2021-03-15,Y,Y
REF-STD-002,CoolMaster 520L Side-by-Side,Refrigerators,Standard,520,1799.99,A++,12,4.5,24,Charcoal Gray,Inverter Compressor,2 Year Full / 5 Year Compressor,2020-06-01,Y,N
REF-ECO-003,EcoFresh 450L Top Mount,Refrigerators,Economy,450,949.99,A+,16,4.2,36,White,Standard Compressor,2 Year Full,2019-11-10,N,N
REF-COM-004,ChefVault 900L Commercial,Refrigerators,Commercial,900,4299.99,A++,6,4.6,12,Brushed Steel,Dual Compressor,3 Year Full / 7 Year Compressor,2022-01-20,Y,Y
REF-CMP-005,SlimLine 280L Compact,Refrigerators,Economy,280,649.99,A+,22,4.0,48,White,Standard Compressor,1 Year Full,2020-09-05,N,N
WM-FL-001,AquaClean Pro 12kg Front Load,Washing Machines,Premium,12,1299.99,A+++,5,4.8,14,Silver,Brushless Inverter,3 Year Full / 10 Year Motor,2022-04-10,Y,Y
WM-TL-002,SpinMaster 9kg Top Load,Washing Machines,Standard,9,799.99,A++,8,4.4,22,White,Inverter Motor,2 Year Full / 5 Year Motor,2021-07-22,Y,N
WM-FL-003,EcoWash 8kg Front Load,Washing Machines,Economy,8,599.99,A+,11,4.1,38,White,Standard Motor,2 Year Full,2020-02-14,N,N
WM-XL-004,MaxLoad 15kg Commercial Front,Washing Machines,Commercial,15,2199.99,A++,4,4.6,9,Stainless,Brushless Inverter,3 Year Full / 10 Year Motor,2023-01-08,Y,Y
DW-INT-001,SilentWash 14 Place Integrated,Dishwashers,Premium,14,1099.99,A+++,38,4.7,16,Panel Ready,Heat Pump Dry,3 Year Full,2022-08-30,Y,Y
DW-FS-002,CrystalClean 13 Place Freestanding,Dishwashers,Standard,13,699.99,A++,42,4.3,28,Silver,Fan Dry,2 Year Full,2021-03-17,Y,N
DW-CP-003,QuickWash 9 Place Compact,Dishwashers,Economy,9,399.99,A+,48,4.0,44,White,Standard Dry,1 Year Full,2019-12-01,N,N
OV-MWO-001,ChefPro 90cm Multifunction Oven,Ovens & Cooktops,Premium,90,1599.99,A+,N/A,4.6,20,Anthracite,Pyrolytic Self-Clean,3 Year Full,2022-05-12,Y,Y
OV-IND-002,InductaTop 5-Zone Induction Cooktop,Ovens & Cooktops,Premium,N/A,899.99,A++,N/A,4.8,12,Black Glass,PowerBoost,2 Year Full,2023-02-28,Y,Y
OV-GAS-003,FlameChef 60cm Gas Cooktop,Ovens & Cooktops,Standard,N/A,449.99,A,N/A,4.3,30,Stainless Steel,Automatic Ignition,2 Year Full,2021-01-09,N,N
OV-MWV-004,QuickHeat 32L Microwave,Ovens & Cooktops,Economy,32,199.99,B,N/A,4.1,42,Black,Inverter Heating,1 Year Full,2020-08-20,N,N
AC-INV-001,ClimaPro 18000 BTU Inverter Split,Air Conditioners,Premium,18000,1499.99,A+++,N/A,4.7,16,White,Plasma Filter,3 Year Full / 5 Year Compressor,2022-07-15,Y,Y
AC-STD-002,CoolBreeze 12000 BTU Split,Air Conditioners,Standard,12000,899.99,A++,N/A,4.4,24,White,HEPA Filter,2 Year Full / 5 Year Compressor,2021-04-01,Y,N
AC-WIN-003,ArcticWindow 9000 BTU Window Unit,Air Conditioners,Economy,9000,449.99,A+,N/A,3.9,36,White,Standard Filter,1 Year Full,2020-05-30,N,N
AC-POR-004,PortiCool 10000 BTU Portable,Air Conditioners,Standard,10000,649.99,A+,N/A,4.2,28,Silver/White,Washable Filter,2 Year Full,2021-09-14,Y,N
SA-BLD-001,BlendMaster Pro 2000W Blender,Small Appliances,Premium,N/A,249.99,A,N/A,4.6,20,Silver,Smart Speed,2 Year Full,2022-03-05,Y,N
SA-KET-002,AquaHeat 1.7L Precision Kettle,Small Appliances,Standard,N/A,79.99,A,N/A,4.4,32,Rose Gold,Temp Select,2 Year Full,2021-11-22,Y,N
SA-ROB-003,RoboChef 12-in-1 Food Processor,Small Appliances,Premium,N/A,399.99,A,N/A,4.7,14,Matte Black,Auto-Sensing,2 Year Full,2023-04-18,Y,Y
SA-IRN-004,SteamPro 3200W Steam Iron,Small Appliances,Standard,N/A,69.99,A,N/A,4.2,40,Blue/White,Auto Shut-off,1 Year Full,2020-10-11,N,N
