SKU,Month,Year,Units Sold,Unit Price (USD),Revenue (USD),Returns,Return Rate (%)
REF-PRO-001,Jan,2024,12,2499.99,29999.88,0,0.0
REF-PRO-001,Feb,2024,11,2499.99,27499.89,0,0.0
REF-PRO-001,Mar,2024,14,2499.99,34999.86,0,0.0
REF-PRO-001,Apr,2024,15,2499.99,37499.85,0,0.0
REF-PRO-001,May,2024,15,2499.99,37499.85,0,0.0
REF-PRO-001,Jun,2024,16,2499.99,39999.84,0,0.0
REF-PRO-001,Jul,2024,16,2499.99,39999.84,0,0.0
REF-PRO-001,Aug,2024,17,2499.99,42499.83,0,0.0
REF-PRO-001,Sep,2024,14,2499.99,34999.86,0,0.0
REF-PRO-001,Oct,2024,15,2499.99,37499.85,0,0.0
REF-PRO-001,Nov,2024,17,2499.99,42499.83,0,0.0
REF-PRO-001,Dec,2024,17,2499.99,42499.83,0,0.0
REF-STD-002,Jan,2024,22,1799.99,39599.78,0,0.0
REF-STD-002,Feb,2024,19,1799.99,34199.81,0,0.0
REF-STD-002,Mar,2024,25,1799.99,44999.75,0,0.0
REF-STD-002,Apr,2024,26,1799.99,46799.74,0,0.0
REF-STD-002,May,2024,27,1799.99,48599.73,1,3.7
REF-STD-002,Jun,2024,29,1799.99,52199.71,0,0.0
REF-STD-002,Jul,2024,34,1799.99,61199.66,1,2.94
REF-STD-002,Aug,2024,32,1799.99,57599.68,1,3.12
REF-STD-002,Sep,2024,27,1799.99,48599.73,0,0.0
REF-STD-002,Oct,2024,23,1799.99,41399.77,0,0.0
REF-STD-002,Nov,2024,25,1799.99,44999.75,0,0.0
REF-STD-002,Dec,2024,28,1799.99,50399.72,0,0.0
REF-ECO-003,Jan,2024,34,949.99,32299.66,0,0.0
REF-ECO-003,Feb,2024,34,949.99,32299.66,0,0.0
REF-ECO-003,Mar,2024,37,949.99,35149.63,1,2.7
REF-ECO-003,Apr,2024,43,949.99,40849.57,1,2.33
REF-ECO-003,May,2024,41,949.99,38949.59,1,2.44
REF-ECO-003,Jun,2024,47,949.99,44649.53,1,2.13
REF-ECO-003,Jul,2024,59,949.99,56049.41,2,3.39
REF-ECO-003,Aug,2024,50,949.99,47499.5,1,2.0
REF-ECO-003,Sep,2024,47,949.99,44649.53,1,2.13
REF-ECO-003,Oct,2024,39,949.99,37049.61,0,0.0
REF-ECO-003,Nov,2024,44,949.99,41799.56,1,2.27
REF-ECO-003,Dec,2024,48,949.99,45599.52,2,4.17
REF-COM-004,Jan,2024,3,4299.99,12899.97,0,0.0
REF-COM-004,Feb,2024,3,4299.99,12899.97,0,0.0
REF-COM-004,Mar,2024,3,4299.99,12899.97,0,0.0
REF-COM-004,Apr,2024,3,4299.99,12899.97,0,0.0
REF-COM-004,May,2024,3,4299.99,12899.97,0,0.0
REF-COM-004,Jun,2024,4,4299.99,17199.96,0,0.0
